DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,2006-06-01,37748.0000,7719699.4945,-23867.0000,-0.3874,7719698.4945,7719698.4945,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,2006-06-05,36739.0000,7728360.3372,-26997.0000,-0.4236,7728359.3107,7528419.1044,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,2006-06-06,36577.0000,7732687.7553,-30764.0000,-0.4568,7732686.7016,7338224.5723,CDI_ajustado_pct
1990-01-04,71622.0000,1.0772,2006-06-07,35264.0000,7737014.9674,-36358.0000,-0.5076,7737013.8902,7182475.0551,CDI_ajustado_pct
1990-01-05,75638.0000,1.1014,2006-06-08,35437.0000,7741344.6010,-40201.0000,-0.5315,7741343.4996,7028866.1880,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,2006-06-09,35074.0000,7745676.6574,-47241.0000,-0.5739,7745675.5312,6877684.8241,CDI_ajustado_pct
1990-01-09,86796.0000,1.1517,2006-06-12,32847.0000,7750013.7716,-53949.0000,-0.6216,7750012.6199,6729441.1685,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,2006-06-13,33554.0000,7754353.3143,-56105.0000,-0.6258,7754352.1368,6585398.1251,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,2006-06-14,32941.0000,7758692.6504,-55950.0000,-0.6294,7758691.4463,6443272.0454,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,2006-06-16,34398.0000,7763034.4148,25699.0000,2.9542,7763033.1535,6154791.3897,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,2006-06-19,33897.0000,7767378.6089,25087.0000,2.8476,7767377.3211,6031707.1428,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,2006-06-20,33632.0000,7771725.2340,24706.0000,2.7679,7771723.9189,5909817.3273,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,2006-06-21,34546.0000,7776076.9338,24903.0000,2.5825,7776075.5905,5788967.5677,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,2006-06-22,34316.0000,7780428.4264,24122.0000,2.3663,7780427.0535,5666925.4969,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,2006-06-23,34661.0000,7784782.3542,24024.0000,2.2585,7784780.9492,5541002.0866,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,2006-06-26,34631.0000,7789138.7184,24040.0000,2.2699,7789137.2803,5416175.7697,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,2006-06-27,34375.0000,7793494.7942,24007.0000,2.3155,7793493.3209,5289878.9455,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,2006-06-28,34834.0000,7797853.3062,24466.0000,2.3598,7797851.7957,5162571.2607,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,2006-06-29,36486.0000,7802211.6044,25997.0000,2.4785,7802210.0546,5034464.0714,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,2006-06-30,36630.0000,7806588.4110,26585.0000,2.6466,7806586.8200,4906788.1259,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,2006-07-03,37357.0000,7810967.6729,27172.0000,2.6678,7810966.0382,4778093.9572,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,2006-07-04,37367.0000,7815344.0019,27318.0000,2.7185,7815342.3196,4645580.7437,CDI_ajustado_pct
1990-02-01,10403.0000,1.7319,2006-07-05,36378.0000,7819722.7828,25975.0000,2.4969,7819721.0509,4514998.6214,CDI_ajustado_pct
1990-02-02,11155.0000,1.7851,2006-07-06,36533.0000,7824101.3584,25378.0000,2.2750,7824099.5733,4383012.0789,CDI_ajustado_pct
1990-02-05,11644.0000,1.8419,2006-07-07,36101.0000,7828479.7255,24457.0000,2.1004,7828477.8836,4250210.0905,CDI_ajustado_pct
1990-02-06,11946.0000,1.9027,2006-07-10,36140.0000,7832860.5428,24194.0000,2.0253,7832858.6401,4116808.1561,CDI_ajustado_pct
1990-02-07,12771.0000,1.9659,2006-07-11,36553.0000,7837241.0700,23782.0000,1.8622,7837239.1042,3986678.5291,CDI_ajustado_pct
1990-02-08,13682.0000,2.0311,2006-07-12,36229.0000,7841626.7901,22547.0000,1.6479,7841624.7591,3860832.7625,CDI_ajustado_pct
1990-02-09,14535.0000,2.0987,2006-07-13,35354.0000,7846012.2199,20819.0000,1.4323,7846010.1212,3738430.4991,CDI_ajustado_pct
1990-02-12,15608.0000,2.1698,2006-07-14,35349.0000,7850397.4346,19741.0000,1.2648,7850395.2648,3618098.5448,CDI_ajustado_pct
1990-02-13,15069.0000,2.2451,2006-07-17,34866.0000,7854787.7694,19797.0000,1.3138,7854785.5243,3498621.5916,CDI_ajustado_pct
1990-02-14,15250.0000,2.3234,2006-07-18,35130.0000,7859180.5594,19880.0000,1.3036,7859178.2360,3382625.0779,CDI_ajustado_pct
1990-02-15,16792.0000,2.4050,2006-07-19,36785.0000,7863573.1340,19993.0000,1.1906,7863570.7290,3269665.8978,CDI_ajustado_pct
1990-02-16,17393.0000,2.4896,2006-07-20,35846.0000,7867834.9548,18453.0000,1.0609,7867832.4651,3160259.9780,CDI_ajustado_pct
1990-02-19,17930.0000,2.5778,2006-07-21,35510.0000,7872096.3315,17580.0000,0.9805,7872093.7537,3053761.5621,CDI_ajustado_pct
1990-02-20,17645.0000,2.6692,2006-07-24,36224.0000,7876357.3398,18579.0000,1.0529,7876354.6706,2950801.9861,CDI_ajustado_pct
1990-02-21,17722.0000,2.7608,2006-07-25,36680.0000,7880620.6545,18958.0000,1.0697,7880617.8937,2854434.1820,CDI_ajustado_pct
