DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,1999-08-27,10545.0000,2445784.9202,-51070.0000,-0.8289,2445783.9202,2445783.9202,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,1999-08-31,10564.0000,2449198.1269,-53172.0000,-0.8343,2449197.1004,2385833.9784,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,1999-09-01,10902.0000,2450886.9225,-56439.0000,-0.8381,2450885.8688,2325860.5450,CDI_ajustado_pct
1990-01-04,71622.0000,1.0772,1999-09-02,10998.0000,2452598.1318,-60624.0000,-0.8464,2452597.0546,2276810.8491,CDI_ajustado_pct
1990-01-05,75638.0000,1.1014,1999-09-03,11156.0000,2454308.8926,-64482.0000,-0.8525,2454307.7912,2228424.6978,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,1999-09-06,11185.0000,2456015.9380,-71130.0000,-0.8641,2456014.8118,2180790.5238,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,1999-09-08,11090.0000,2457727.4373,-78569.0000,-0.8763,2457726.2598,2087228.6450,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,1999-09-09,11292.0000,2459440.1292,-77599.0000,-0.8730,2459438.9251,2042462.2094,CDI_ajustado_pct
1990-01-12,8779.0000,1.2324,1999-09-10,11363.0000,2461167.9351,2584.0000,0.2943,2461166.7027,1997100.0112,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,1999-09-13,11477.0000,2462898.6038,2778.0000,0.3193,2462897.3425,1952667.0900,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,1999-09-14,11459.0000,2464620.6625,2649.0000,0.3007,2464619.3747,1913884.4004,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,1999-09-15,11263.0000,2466335.6934,2337.0000,0.2618,2466334.3784,1875463.6418,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,1999-09-16,11094.0000,2468054.3841,1451.0000,0.1505,2468053.0409,1837363.6988,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,1999-09-17,11290.0000,2469775.9261,1096.0000,0.1075,2469774.5531,1798876.6286,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,1999-09-20,11586.0000,2471500.3236,949.0000,0.0892,2471498.9187,1759147.8495,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,1999-09-21,11449.0000,2473229.2123,858.0000,0.0810,2473227.7741,1719758.6666,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,1999-09-22,11531.0000,2474930.4477,1163.0000,0.1122,2474928.9744,1679872.4441,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,1999-09-23,11385.0000,2476631.1952,1017.0000,0.0981,2476629.6847,1639653.7878,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,1999-09-24,11532.0000,2478333.1114,1043.0000,0.0994,2478331.5616,1599171.4036,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,1999-09-27,11542.0000,2480036.1971,1497.0000,0.1490,2480034.6061,1558812.4026,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,1999-09-28,11442.0000,2481739.6347,1257.0000,0.1234,2481738.0000,1518119.1780,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,1999-09-29,11433.0000,2483443.3986,1384.0000,0.1377,2483441.7163,1476202.6465,CDI_ajustado_pct
1990-02-01,10403.0000,1.7319,1999-09-30,11106.0000,2485146.6683,703.0000,0.0676,2485144.9364,1434888.2638,CDI_ajustado_pct
1990-02-02,11155.0000,1.7851,1999-10-01,10959.0000,2486854.4362,-196.0000,-0.0176,2486852.6511,1393119.4390,CDI_ajustado_pct
1990-02-05,11644.0000,1.8419,1999-10-04,11055.0000,2488560.8909,-589.0000,-0.0506,2488559.0490,1351079.8572,CDI_ajustado_pct
1990-02-06,11946.0000,1.9027,1999-10-05,10923.0000,2490267.6704,-1023.0000,-0.0856,2490265.7677,1308838.4323,CDI_ajustado_pct
1990-02-07,12771.0000,1.9659,1999-10-06,11345.0000,2491963.1442,-1426.0000,-0.1117,2491961.1784,1267620.9049,CDI_ajustado_pct
1990-02-08,13682.0000,2.0311,1999-10-07,11338.0000,2493669.7652,-2344.0000,-0.1713,2493667.7341,1227760.1113,CDI_ajustado_pct
1990-02-09,14535.0000,2.0987,1999-10-08,11459.0000,2495376.7320,-3076.0000,-0.2116,2495374.6333,1188984.5274,CDI_ajustado_pct
1990-02-12,15608.0000,2.1698,1999-10-11,11478.0000,2497080.7000,-4130.0000,-0.2646,2497078.5302,1150856.2170,CDI_ajustado_pct
1990-02-14,15250.0000,2.3234,1999-10-13,11297.0000,2498786.6556,-3953.0000,-0.2592,2498784.3322,1075487.8299,CDI_ajustado_pct
1990-02-15,16792.0000,2.4050,1999-10-14,11330.0000,2500493.7767,-5462.0000,-0.3253,2500491.3717,1039702.1464,CDI_ajustado_pct
