DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,1998-09-09,5655.0000,1880666.6765,-55960.0000,-0.9082,1880665.6765,1880665.6765,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,1998-09-11,5398.0000,1885308.7738,-58338.0000,-0.9153,1885307.7472,1836532.9938,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,1998-09-14,5818.0000,1887867.2321,-61523.0000,-0.9136,1887866.1783,1791561.7836,CDI_ajustado_pct
1990-01-04,71622.0000,1.0772,1998-09-15,6905.0000,1890370.8272,-64717.0000,-0.9036,1890369.7500,1754880.3410,CDI_ajustado_pct
1990-01-05,75638.0000,1.1014,1998-09-16,6759.0000,1892848.1014,-68879.0000,-0.9106,1892847.0001,1718638.1509,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,1998-09-17,6432.0000,1895337.8213,-75883.0000,-0.9219,1895336.6951,1682942.7430,CDI_ajustado_pct
1990-01-09,86796.0000,1.1517,1998-09-18,6709.0000,1897834.0571,-80087.0000,-0.9227,1897832.9054,1647914.0759,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,1998-09-21,6449.0000,1900363.2815,-83210.0000,-0.9281,1900362.1040,1613886.0882,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,1998-09-22,6559.0000,1902895.8767,-82332.0000,-0.9262,1902894.6725,1580275.2479,CDI_ajustado_pct
1990-01-12,8779.0000,1.2324,1998-09-23,7280.0000,1905431.3142,-1499.0000,-0.1707,1905430.0818,1546150.6258,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,1998-09-24,6844.0000,1907942.4630,-1855.0000,-0.2132,1907941.2017,1512679.3675,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,1998-09-25,6711.0000,1910490.5774,-2099.0000,-0.2383,1910489.2897,1483578.2296,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,1998-09-28,6827.0000,1913046.9858,-2099.0000,-0.2352,1913045.6707,1454728.7797,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,1998-09-29,6868.0000,1915610.0670,-2775.0000,-0.2878,1915608.7237,1426091.6892,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,1998-09-30,6593.0000,1918183.0953,-3601.0000,-0.3532,1918181.7223,1397120.3425,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,1998-10-01,5960.0000,1920769.3432,-4677.0000,-0.4397,1920767.9382,1367152.0398,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,1998-10-02,6409.0000,1923362.9004,-4182.0000,-0.3949,1923361.4623,1337409.1859,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,1998-10-05,6122.0000,1925968.6532,-4246.0000,-0.4095,1925967.1800,1307261.4315,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,1998-10-06,6336.0000,1928581.7305,-4032.0000,-0.3889,1928580.2200,1276817.3952,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,1998-10-07,6156.0000,1931196.7330,-4333.0000,-0.4131,1931195.1832,1246125.4820,CDI_ajustado_pct
