DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,2004-06-25,20750.0000,5626949.4946,-40865.0000,-0.6632,5626948.4946,5626948.4946,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,2004-06-29,20800.0000,5633465.8121,-42936.0000,-0.6737,5633464.7855,5487721.5474,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,2004-06-30,21148.0000,5636730.6872,-46193.0000,-0.6860,5636729.6334,5349187.0936,CDI_ajustado_pct
1990-01-04,71622.0000,1.0772,2004-07-01,21348.0000,5639995.4816,-50274.0000,-0.7019,5639994.4044,5235756.2873,CDI_ajustado_pct
1990-01-05,75638.0000,1.1014,2004-07-02,21568.0000,5643258.3318,-54070.0000,-0.7149,5643257.2304,5123878.0373,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,2004-07-05,21670.0000,5646523.0696,-60645.0000,-0.7367,5646521.9434,5013765.1806,CDI_ajustado_pct
1990-01-09,86796.0000,1.1517,2004-07-06,21188.0000,5649791.6159,-65608.0000,-0.7559,5649790.4643,4905789.7591,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,2004-07-07,21171.0000,5653060.1334,-68488.0000,-0.7639,5653058.9559,4800870.9422,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,2004-07-08,20887.0000,5656338.2864,-68004.0000,-0.7650,5656337.0823,4697353.7811,CDI_ajustado_pct
1990-01-12,8779.0000,1.2324,2004-07-09,20887.0000,5659626.0896,12108.0000,1.3792,5659624.8572,4592471.0639,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,2004-07-12,21532.0000,5662904.1450,12833.0000,1.4752,5662902.8837,4489738.1243,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,2004-07-13,21676.0000,5666184.0991,12866.0000,1.4604,5666182.8114,4400037.9952,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,2004-07-14,21672.0000,5669462.0999,12746.0000,1.4280,5669460.7849,4311202.7567,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,2004-07-15,22064.0000,5672745.8524,12421.0000,1.2881,5672744.5091,4223124.3255,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,2004-07-16,22447.0000,5676029.5781,12253.0000,1.2020,5676028.2051,4134172.6792,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,2004-07-19,22102.0000,5679315.2045,11465.0000,1.0778,5679313.7996,4042386.0118,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,2004-07-20,22361.0000,5682602.7329,11770.0000,1.1113,5682601.2948,3951396.1989,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,2004-07-21,21810.0000,5685894.0964,11442.0000,1.1036,5685892.6232,3859332.7068,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,2004-07-22,21730.0000,5689183.4999,11362.0000,1.0959,5689181.9894,3766525.4746,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,2004-07-23,21591.0000,5692476.7407,11102.0000,1.0584,5692475.1909,3673133.8461,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,2004-07-26,21317.0000,5695773.8232,11272.0000,1.1222,5695772.2322,3580046.9784,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,2004-07-27,21737.0000,5699070.8788,11552.0000,1.1342,5699069.2441,3486212.6124,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,2004-07-28,22168.0000,5702369.8430,12119.0000,1.2060,5702368.1607,3389590.7098,CDI_ajustado_pct
1990-02-01,10403.0000,1.7319,2004-07-29,22227.0000,5705670.7168,11824.0000,1.1366,5705668.9849,3294374.2409,CDI_ajustado_pct
1990-02-02,11155.0000,1.7851,2004-07-30,22336.0000,5708981.3181,11181.0000,1.0023,5708979.5330,3198134.9441,CDI_ajustado_pct
1990-02-05,11644.0000,1.8419,2004-08-02,22448.0000,5712295.8385,10804.0000,0.9279,5712293.9966,3101298.8662,CDI_ajustado_pct
1990-02-06,11946.0000,1.9027,2004-08-03,22372.0000,5715614.2254,10426.0000,0.8728,5715612.3227,3004021.9680,CDI_ajustado_pct
