DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,2015-02-10,48510.0000,18520482.0660,-13105.0000,-0.2127,18520481.0660,18520481.0660,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,2015-02-12,49532.0000,18537265.7939,-14204.0000,-0.2229,18537264.7674,18057687.6162,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,2015-02-13,50635.0000,18545663.3607,-16706.0000,-0.2481,18545662.3069,17599605.4285,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,2015-02-18,51280.0000,18554064.7317,-31035.0000,-0.3770,18554063.6055,16474870.5481,CDI_ajustado_pct
1990-01-09,86796.0000,1.1517,2015-02-19,51294.0000,18562469.9085,-35502.0000,-0.4090,18562468.7569,16118043.6172,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,2015-02-20,51237.0000,18570878.8930,-38422.0000,-0.4285,18570877.7155,15771352.8006,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,2015-02-23,51280.0000,18579291.6869,-37611.0000,-0.4231,18579290.4827,15429331.5851,CDI_ajustado_pct
1990-01-12,8779.0000,1.2324,2015-02-24,51874.0000,18587708.2918,43095.0000,4.9089,18587707.0594,15082891.3521,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,2015-02-25,51811.0000,18596128.7095,43112.0000,4.9560,18596127.4482,14743629.5629,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,2015-02-26,51760.0000,18604552.9418,42950.0000,4.8751,18604551.6540,14447245.5066,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,2015-02-27,51583.0000,18612980.9903,42657.0000,4.7790,18612979.6753,14153785.0477,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,2015-03-02,51020.0000,18621412.8568,41377.0000,4.2909,18621411.5136,13862872.8671,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,2015-03-03,51304.0000,18629848.5431,41110.0000,4.0328,18629847.1701,13569172.3869,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,2015-03-04,50468.0000,18638288.0508,39831.0000,3.7446,18638286.6458,13266241.6411,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,2015-03-05,50365.0000,18647067.2436,39774.0000,3.7555,18647065.8055,12966235.2014,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,2015-03-06,49981.0000,18655850.5717,39613.0000,3.8207,18655849.0984,12662766.1424,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,2015-03-09,49181.0000,18664638.0370,38813.0000,3.7435,18664636.5265,12356930.9405,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,2015-03-10,48293.0000,18673429.6414,37804.0000,3.6042,18673428.0917,12049240.1717,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,2015-03-11,48905.0000,18682225.3870,38860.0000,3.8686,18682223.7960,11742611.2077,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,2015-03-12,48880.0000,18691025.2756,38695.0000,3.7992,18691023.6409,11433600.7449,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,2015-03-13,48595.0000,18699829.3092,38546.0000,3.8358,18699827.6269,11115515.5567,CDI_ajustado_pct
1990-02-01,10403.0000,1.7319,2015-03-16,48848.0000,18708637.4898,38445.0000,3.6956,18708635.7579,10802107.1476,CDI_ajustado_pct
1990-02-02,11155.0000,1.7851,2015-03-17,50285.0000,18717449.8194,39130.0000,3.5078,18717448.0343,10485398.3583,CDI_ajustado_pct
1990-02-05,11644.0000,1.8419,2015-03-18,51526.0000,18726266.2997,39882.0000,3.4251,18726264.4578,10166798.6216,CDI_ajustado_pct
1990-02-06,11946.0000,1.9027,2015-03-19,50953.0000,18735086.9330,39007.0000,3.2653,18735085.0303,9846820.2225,CDI_ajustado_pct
1990-02-07,12771.0000,1.9659,2015-03-20,51966.0000,18743911.7210,39195.0000,3.0691,18743909.7551,9534727.9289,CDI_ajustado_pct
1990-02-08,13682.0000,2.0311,2015-03-23,51908.0000,18752747.2261,38226.0000,2.7939,18752745.1950,9232935.1710,CDI_ajustado_pct
