DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,1990-12-18,23246.0000,12.9871,-38369.0000,-0.6227,11.9871,11.9871,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,1990-12-20,25189.0000,13.4658,-38547.0000,-0.6048,12.4392,12.1174,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,1990-12-21,24972.0000,13.8000,-42369.0000,-0.6292,12.7462,12.0960,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,1990-12-26,24152.0000,14.0337,-58163.0000,-0.7066,12.9075,11.4610,CDI_ajustado_pct
1990-01-09,86796.0000,1.1517,1990-12-27,25526.0000,14.1925,-61270.0000,-0.7059,13.0409,11.3236,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,1990-12-28,25156.0000,14.5973,-64503.0000,-0.7194,13.4198,11.3968,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,1991-01-02,25321.0000,14.7335,16622.0000,1.9108,13.4722,10.6812,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,1991-01-03,28221.0000,14.8738,19411.0000,2.2033,13.5861,10.5502,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,1991-01-04,29853.0000,15.0026,20927.0000,2.3445,13.6876,10.4084,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,1991-01-07,30140.0000,15.1245,20497.0000,2.1256,13.7812,10.2596,CDI_ajustado_pct
1990-01-19,10194.0000,1.3730,1991-01-08,28238.0000,15.2606,18044.0000,1.7701,13.8877,10.1152,CDI_ajustado_pct
1990-01-22,10637.0000,1.4049,1991-01-09,30383.0000,15.4011,19746.0000,1.8564,13.9962,9.9621,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,1991-01-10,28105.0000,15.5369,17514.0000,1.6537,14.0988,9.8036,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,1991-01-11,28234.0000,15.6821,17866.0000,1.7232,14.2088,9.6443,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,1991-01-14,26485.0000,15.8499,16117.0000,1.5545,14.3394,9.4934,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,1991-01-15,27622.0000,16.0070,17133.0000,1.6334,14.4572,9.3287,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,1991-01-16,28341.0000,16.1694,18296.0000,1.8214,14.5784,9.1632,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,1991-01-17,31932.0000,16.3676,21747.0000,2.1352,14.7329,9.0123,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,1991-01-18,32735.0000,16.5598,22686.0000,2.2575,14.8775,8.8434,CDI_ajustado_pct
1990-02-01,10403.0000,1.7319,1991-01-21,34845.0000,16.7170,24442.0000,2.3495,14.9850,8.6522,CDI_ajustado_pct
1990-02-02,11155.0000,1.7851,1991-01-22,33840.0000,16.8618,22685.0000,2.0336,15.0767,8.4459,CDI_ajustado_pct
1990-02-05,11644.0000,1.8419,1991-01-23,33704.0000,17.0075,22060.0000,1.8945,15.1656,8.2337,CDI_ajustado_pct
1990-02-06,11946.0000,1.9027,1991-01-24,37734.0000,17.1686,25788.0000,2.1587,15.2660,8.0235,CDI_ajustado_pct
1990-02-07,12771.0000,1.9659,1991-01-25,37734.0000,17.3200,24963.0000,1.9547,15.3542,7.8104,CDI_ajustado_pct
1990-02-08,13682.0000,2.0311,1991-01-28,40065.0000,17.4799,26383.0000,1.9283,15.4488,7.6063,CDI_ajustado_pct
1990-02-09,14535.0000,2.0987,1991-01-29,42515.0000,17.6345,27980.0000,1.9250,15.5358,7.4024,CDI_ajustado_pct
1990-02-12,15608.0000,2.1698,1991-01-30,45918.0000,17.8137,30310.0000,1.9420,15.6439,7.2100,CDI_ajustado_pct
1990-02-13,15069.0000,2.2451,1991-01-31,47480.0000,18.0217,32411.0000,2.1508,15.7766,7.0271,CDI_ajustado_pct
1990-02-15,16792.0000,2.4050,1991-02-04,64601.0000,18.1025,47809.0000,2.8471,15.6975,6.5270,CDI_ajustado_pct
1990-02-16,17393.0000,2.4896,1991-02-05,61931.0000,18.1846,44538.0000,2.5607,15.6950,6.3042,CDI_ajustado_pct
1990-02-19,17930.0000,2.5778,1991-02-06,62487.0000,18.2572,44557.0000,2.4851,15.6794,6.0824,CDI_ajustado_pct
1990-02-20,17645.0000,2.6692,1991-02-07,59613.0000,18.3253,41968.0000,2.3785,15.6561,5.8654,CDI_ajustado_pct
1990-02-21,17722.0000,2.7608,1991-02-08,53900.0000,18.3922,36178.0000,2.0414,15.6314,5.6618,CDI_ajustado_pct
1990-02-28,16597.0000,3.0271,1991-02-15,61985.0000,18.6824,45388.0000,2.7347,15.6553,5.1717,CDI_ajustado_pct
1990-03-01,17208.0000,3.1127,1991-02-18,63049.0000,18.8399,45841.0000,2.6639,15.7272,5.0526,CDI_ajustado_pct
1990-03-02,18100.0000,3.2017,1991-02-19,62275.0000,18.9543,44175.0000,2.4406,15.7526,4.9201,CDI_ajustado_pct
1990-03-05,20055.0000,3.2934,1991-02-20,59447.0000,19.0661,39392.0000,1.9642,15.7727,4.7892,CDI_ajustado_pct
1990-03-06,21904.0000,3.3867,1991-02-21,58247.0000,19.1639,36343.0000,1.6592,15.7772,4.6586,CDI_ajustado_pct
1990-03-07,20455.0000,3.4815,1991-02-22,62944.0000,19.2534,42489.0000,2.0772,15.7719,4.5301,CDI_ajustado_pct
1990-03-08,20325.0000,3.5778,1991-02-25,60346.0000,19.3400,40021.0000,1.9691,15.7622,4.4055,CDI_ajustado_pct
1990-03-09,18841.0000,3.6737,1991-02-26,62335.0000,19.4251,43494.0000,2.3085,15.7515,4.2877,CDI_ajustado_pct
1990-03-12,18657.0000,3.7673,1991-02-27,67262.0000,19.5124,48605.0000,2.6052,15.7450,4.1794,CDI_ajustado_pct
1990-03-13,18653.0000,3.8664,1991-02-28,72597.0000,19.5926,53944.0000,2.8920,15.7262,4.0674,CDI_ajustado_pct
1990-03-19,16384.0000,3.8905,1991-03-06,68906.0000,19.9399,52522.0000,3.2057,16.0493,4.1252,CDI_ajustado_pct
1990-03-20,12952.0000,3.9148,1991-03-07,69703.0000,20.0276,56751.0000,4.3816,16.1128,4.1158,BOVESPA_pct
1990-03-21,10067.0000,3.9392,1991-03-08,64516.0000,20.1163,54449.0000,5.4087,16.1771,4.1067,BOVESPA_pct
1990-03-22,9333.0000,3.9636,1991-03-11,61850.0000,20.2101,52517.0000,5.6270,16.2465,4.0989,BOVESPA_pct
1990-03-23,9436.0000,3.9886,1991-03-12,63626.0000,20.3190,54190.0000,5.7429,16.3304,4.0942,BOVESPA_pct
1990-03-26,8809.0000,4.0138,1991-03-13,63866.0000,20.4249,55057.0000,6.2501,16.4111,4.0887,BOVESPA_pct
1990-03-27,8206.0000,4.0396,1991-03-14,60119.0000,20.5245,51913.0000,6.3262,16.4849,4.0809,BOVESPA_pct
1990-03-28,7390.0000,4.0676,1991-03-15,60215.0000,20.6253,52825.0000,7.1482,16.5577,4.0706,BOVESPA_pct
1990-03-29,6856.0000,4.0980,1991-03-18,59473.0000,20.7550,52617.0000,7.6746,16.6571,4.0647,BOVESPA_pct
1990-03-30,7275.0000,4.1286,1991-03-19,62607.0000,20.8619,55332.0000,7.6058,16.7333,4.0530,BOVESPA_pct
1990-04-02,7664.0000,4.1469,1991-03-20,60461.0000,20.9692,52797.0000,6.8890,16.8222,4.0565,BOVESPA_pct
1990-04-03,9464.0000,4.1647,1991-03-21,60973.0000,21.0799,51509.0000,5.4426,16.9152,4.0616,BOVESPA_pct
1990-04-04,9833.0000,4.1806,1991-03-22,59268.0000,21.2005,49435.0000,5.0275,17.0198,4.0711,BOVESPA_pct
1990-04-05,11315.0000,4.1949,1991-03-25,59948.0000,21.3200,48633.0000,4.2981,17.1251,4.0824,BOVESPA_pct
1990-04-06,10435.0000,4.2083,1991-03-26,63173.0000,21.4328,52738.0000,5.0540,17.2245,4.0930,BOVESPA_pct
1990-04-09,9281.0000,4.2226,1991-03-27,64241.0000,21.5535,54960.0000,5.9218,17.3309,4.1043,BOVESPA_pct
1990-04-16,11404.0000,4.2671,1991-04-03,70694.0000,21.8952,59290.0000,5.1991,17.6281,4.1312,BOVESPA_pct
1990-04-17,13722.0000,4.2768,1991-04-04,69100.0000,22.0064,55378.0000,4.0357,17.7296,4.1455,CDI_ajustado_pct
1990-04-18,13902.0000,4.2848,1991-04-05,70685.0000,22.1180,56783.0000,4.0845,17.8332,4.1620,CDI_ajustado_pct
1990-04-19,14669.0000,4.2914,1991-04-08,70046.0000,22.2467,55377.0000,3.7751,17.9552,4.1840,CDI_ajustado_pct
1990-04-20,14698.0000,4.2980,1991-04-09,67969.0000,22.3757,53271.0000,3.6244,18.0777,4.2060,CDI_ajustado_pct
1990-04-23,14811.0000,4.3043,1991-04-10,66699.0000,22.5032,51888.0000,3.5033,18.1989,4.2280,CDI_ajustado_pct
1990-04-24,15272.0000,4.3109,1991-04-11,64052.0000,22.6421,48780.0000,3.1941,18.3312,4.2523,CDI_ajustado_pct
1990-04-25,15777.0000,4.3172,1991-04-12,66999.0000,22.7802,51222.0000,3.2466,18.4630,4.2766,CDI_ajustado_pct
1990-04-26,16915.0000,4.3237,1991-04-15,65129.0000,22.9294,48214.0000,2.8504,18.6058,4.3032,CDI_ajustado_pct
1990-04-27,16092.0000,4.3305,1991-04-16,68820.0000,23.1021,52728.0000,3.2767,18.7716,4.3348,CDI_ajustado_pct
1990-04-30,15587.0000,4.3401,1991-04-17,69550.0000,23.2405,53963.0000,3.4621,18.9003,4.3548,CDI_ajustado_pct
1990-05-02,15364.0000,4.3519,1991-04-19,69098.0000,23.5036,53734.0000,3.4974,19.1517,4.4008,CDI_ajustado_pct
1990-05-03,16779.0000,4.3631,1991-04-22,70525.0000,23.6289,53746.0000,3.2032,19.2657,4.4156,CDI_ajustado_pct
1990-05-04,15926.0000,4.3737,1991-04-23,69348.0000,23.7366,53422.0000,3.3544,19.3629,4.4271,CDI_ajustado_pct
1990-05-07,15186.0000,4.3843,1991-04-24,71900.0000,23.8373,56714.0000,3.7346,19.4529,4.4369,CDI_ajustado_pct
1990-05-08,14636.0000,4.3946,1991-04-25,70893.0000,23.9371,56257.0000,3.8437,19.5425,4.4469,CDI_ajustado_pct
1990-05-09,14644.0000,4.4050,1991-04-26,70102.0000,24.0389,55458.0000,3.7871,19.6339,4.4572,CDI_ajustado_pct
1990-05-10,14934.0000,4.4155,1991-04-29,68232.0000,24.1401,53298.0000,3.5689,19.7246,4.4671,CDI_ajustado_pct
1990-05-11,14177.0000,4.4264,1991-04-30,66753.0000,24.2453,52576.0000,3.7085,19.8189,4.4775,CDI_ajustado_pct
1990-05-15,12376.0000,4.4497,1991-05-02,67240.0000,24.3602,54864.0000,4.4331,19.9106,4.4746,CDI_ajustado_pct
1990-05-16,13000.0000,4.4610,1991-05-03,68278.0000,24.4833,55278.0000,4.2522,20.0223,4.4883,CDI_ajustado_pct
1990-05-17,13100.0000,4.4727,1991-05-06,66353.0000,24.6275,53253.0000,4.0651,20.1548,4.5062,CDI_ajustado_pct
1990-05-18,13064.0000,4.4846,1991-05-07,68373.0000,24.7725,55309.0000,4.2337,20.2879,4.5239,CDI_ajustado_pct
1990-05-21,13688.0000,4.4964,1991-05-08,70213.0000,24.9018,56525.0000,4.1295,20.4054,4.5381,CDI_ajustado_pct
1990-05-22,14441.0000,4.5084,1991-05-09,74301.0000,25.0418,59860.0000,4.1451,20.5334,4.5545,CDI_ajustado_pct
1990-05-23,14782.0000,4.5203,1991-05-10,73447.0000,25.2349,58665.0000,3.9687,20.7145,4.5825,CDI_ajustado_pct
