DATA_start,BOVESPA_start,CDI_ajustado_start,DATA_end,BOVESPA_end,CDI_ajustado_end,BOVESPA_diff,BOVESPA_pct,CDI_ajustado_diff,CDI_ajustado_pct,winner
1989-12-29,61615.0000,1.0000,2011-03-31,68586.0000,12961395.6541,6971.0000,0.1131,12961394.6541,12961394.6541,CDI_ajustado_pct
1990-01-02,63736.0000,1.0266,2011-04-04,69703.0000,12972750.3782,5967.0000,0.0936,12972749.3517,12637131.6510,CDI_ajustado_pct
1990-01-03,67341.0000,1.0538,2011-04-05,69837.0000,12978424.5295,2496.0000,0.0371,12978423.4757,12316364.2515,CDI_ajustado_pct
1990-01-04,71622.0000,1.0772,2011-04-06,69036.0000,12984096.6202,-2586.0000,-0.0361,12984095.5430,12053480.0213,CDI_ajustado_pct
1990-01-05,75638.0000,1.1014,2011-04-07,69176.0000,12989775.7342,-6462.0000,-0.0854,12989774.6328,11794256.0889,CDI_ajustado_pct
1990-01-08,82315.0000,1.1262,2011-04-08,68718.0000,12995452.7858,-13597.0000,-0.1652,12995451.6596,11539164.0536,CDI_ajustado_pct
1990-01-09,86796.0000,1.1517,2011-04-11,68164.0000,13001132.3185,-18632.0000,-0.2147,13001131.1668,11289058.6896,CDI_ajustado_pct
1990-01-10,89659.0000,1.1775,2011-04-12,66896.0000,13006809.6529,-22763.0000,-0.2539,13006808.4754,11046056.5417,CDI_ajustado_pct
1990-01-11,88891.0000,1.2042,2011-04-13,66486.0000,13012498.7014,-22405.0000,-0.2521,13012497.4972,10806340.4694,CDI_ajustado_pct
1990-01-12,8779.0000,1.2324,2011-04-14,66278.0000,13018194.9227,57499.0000,6.5496,13018193.6903,10563540.7532,CDI_ajustado_pct
1990-01-15,8699.0000,1.2613,2011-04-15,66684.0000,13023893.6375,57985.0000,6.6657,13023892.3762,10325775.9013,CDI_ajustado_pct
1990-01-16,8810.0000,1.2878,2011-04-18,65415.0000,13029608.6523,56605.0000,6.4251,13029607.3645,10118058.2016,CDI_ajustado_pct
1990-01-17,8926.0000,1.3151,2011-04-19,66158.0000,13035312.3635,57232.0000,6.4118,13035311.0484,9912383.3921,CDI_ajustado_pct
1990-01-18,9643.0000,1.3433,2011-04-20,67058.0000,13041009.3164,57415.0000,5.9541,13041007.9731,9708492.5844,CDI_ajustado_pct
1990-01-23,10591.0000,1.4381,2011-04-25,66972.0000,13046819.8685,56381.0000,5.3235,13046818.4304,9072103.7917,CDI_ajustado_pct
1990-01-24,10368.0000,1.4733,2011-04-26,67144.0000,13052637.7064,56776.0000,5.4761,13052636.2331,8859552.8025,CDI_ajustado_pct
1990-01-25,10368.0000,1.5105,2011-04-27,66264.0000,13058458.1386,55896.0000,5.3912,13058456.6282,8645357.0373,CDI_ajustado_pct
1990-01-26,10489.0000,1.5498,2011-04-28,65673.0000,13064281.1663,55184.0000,5.2611,13064279.6165,8429873.8291,CDI_ajustado_pct
1990-01-29,10045.0000,1.5910,2011-04-29,66132.0000,13070116.0662,56087.0000,5.5836,13070114.4752,8215150.1020,CDI_ajustado_pct
1990-01-30,10185.0000,1.6347,2011-05-02,65462.0000,13075948.8669,55277.0000,5.4273,13075947.2321,7998767.9052,CDI_ajustado_pct
1990-01-31,10049.0000,1.6823,2011-05-03,64318.0000,13081784.2706,54269.0000,5.4004,13081782.5883,7776048.0348,CDI_ajustado_pct
1990-02-01,10403.0000,1.7319,2011-05-04,63615.0000,13087622.2784,53212.0000,5.1151,13087620.5465,7556610.8229,CDI_ajustado_pct
1990-02-02,11155.0000,1.7851,2011-05-05,63407.0000,13093462.8916,52252.0000,4.6842,13093461.1065,7334875.7448,CDI_ajustado_pct
1990-02-05,11644.0000,1.8419,2011-05-06,64417.0000,13099306.1113,52773.0000,4.5322,13099304.2694,7111828.8909,CDI_ajustado_pct
1990-02-06,11946.0000,1.9027,2011-05-09,64622.0000,13105147.3539,52676.0000,4.4095,13105145.4512,6887826.2916,CDI_ajustado_pct
1990-02-07,12771.0000,1.9659,2011-05-10,64876.0000,13110991.2012,52105.0000,4.0799,13110989.2353,6669351.1051,CDI_ajustado_pct
1990-02-08,13682.0000,2.0311,2011-05-11,63775.0000,13116832.9344,50093.0000,3.6612,13116830.9034,6458086.4359,CDI_ajustado_pct
1990-02-09,14535.0000,2.0987,2011-05-12,64003.0000,13122672.6796,49468.0000,3.4034,13122670.5809,6252629.1927,CDI_ajustado_pct
1990-02-12,15608.0000,2.1698,2011-05-13,63235.0000,13128515.0247,47627.0000,3.0514,13128512.8550,6050683.0106,CDI_ajustado_pct
1990-02-13,15069.0000,2.2451,2011-05-16,62830.0000,13134355.2446,47761.0000,3.1695,13134352.9995,5850208.2399,CDI_ajustado_pct
1990-02-14,15250.0000,2.3234,2011-05-17,63673.0000,13140207.3880,48423.0000,3.1753,13140205.0646,5655602.3855,CDI_ajustado_pct
1990-02-15,16792.0000,2.4050,2011-05-18,62840.0000,13146062.1388,46048.0000,2.7423,13146059.7338,5466120.2503,CDI_ajustado_pct
1990-02-16,17393.0000,2.4896,2011-05-19,62367.0000,13151919.4982,44974.0000,2.5858,13151917.0086,5282709.9636,CDI_ajustado_pct
1990-02-19,17930.0000,2.5778,2011-05-20,62596.0000,13157788.8053,44666.0000,2.4911,13157786.2275,5104200.1126,CDI_ajustado_pct
1990-02-20,17645.0000,2.6692,2011-05-23,62345.0000,13163660.7317,44700.0000,2.5333,13163658.0625,4931640.3310,CDI_ajustado_pct
1990-02-21,17722.0000,2.7608,2011-05-24,63336.0000,13169530.6713,45614.0000,2.5739,13169527.9105,4770127.3093,CDI_ajustado_pct
1990-02-22,16946.0000,2.8529,2011-05-25,63388.0000,13175403.2285,46442.0000,2.7406,13175400.3756,4618253.5797,CDI_ajustado_pct
1990-02-23,16597.0000,2.9387,2011-05-26,64098.0000,13181273.6611,47501.0000,2.8620,13181270.7224,4485371.3732,CDI_ajustado_pct
1990-02-28,16597.0000,3.0271,2011-05-31,64620.0000,13198891.4224,48023.0000,2.8935,13198888.3953,4360192.4322,CDI_ajustado_pct
1990-03-01,17208.0000,3.1127,2011-06-01,63411.0000,13204786.4433,46203.0000,2.6850,13204783.3306,4242265.1768,CDI_ajustado_pct
1990-03-02,18100.0000,3.2017,2011-06-02,64218.0000,13210674.7217,46118.0000,2.5480,13210671.5200,4126202.4711,CDI_ajustado_pct
1990-03-05,20055.0000,3.2934,2011-06-03,64340.0000,13216565.6257,44285.0000,2.2082,13216562.3324,4013088.5998,CDI_ajustado_pct
1990-03-06,21904.0000,3.3867,2011-06-06,63067.0000,13222468.5405,41163.0000,1.8792,13222465.1538,3904277.1012,CDI_ajustado_pct
1990-03-07,20455.0000,3.4815,2011-06-07,63217.0000,13228364.7036,42762.0000,2.0905,13228361.2221,3799574.0653,CDI_ajustado_pct
1990-03-08,20325.0000,3.5778,2011-06-08,63032.0000,13234258.7338,42707.0000,2.1012,13234255.1560,3698972.9160,CDI_ajustado_pct
1990-03-09,18841.0000,3.6737,2011-06-09,63468.0000,13240244.5890,44627.0000,2.3686,13240240.9153,3604083.5272,CDI_ajustado_pct
1990-03-12,18657.0000,3.7673,2011-06-10,62697.0000,13246242.5522,44040.0000,2.3605,13246238.7849,3516100.5596,CDI_ajustado_pct
1990-03-13,18653.0000,3.8664,2011-06-13,62022.0000,13252233.8277,43369.0000,2.3250,13252229.9614,3427577.0212,CDI_ajustado_pct
1990-03-19,16384.0000,3.8905,2011-06-17,61059.0000,13276305.6621,44675.0000,2.7267,13276301.7715,3412463.7292,CDI_ajustado_pct
1990-03-20,12952.0000,3.9148,2011-06-20,61168.0000,13282334.0342,48216.0000,3.7227,13282330.1193,3392830.6594,CDI_ajustado_pct
1990-03-21,10067.0000,3.9392,2011-06-21,61423.0000,13288374.5740,51356.0000,5.1014,13288370.6348,3373379.9883,CDI_ajustado_pct
1990-03-22,9333.0000,3.9636,2011-06-22,61194.0000,13294413.0772,51861.0000,5.5567,13294409.1136,3354117.3861,CDI_ajustado_pct
1990-03-26,8809.0000,4.0138,2011-06-24,61016.0000,13300449.6714,52207.0000,5.9266,13300445.6576,3313689.6761,CDI_ajustado_pct
1990-03-27,8206.0000,4.0396,2011-06-27,61216.0000,13306489.0065,53010.0000,6.4599,13306484.9670,3294024.7074,CDI_ajustado_pct
1990-03-28,7390.0000,4.0676,2011-06-28,62303.0000,13312526.4267,54913.0000,7.4307,13312522.3591,3272827.6715,CDI_ajustado_pct
1990-03-29,6856.0000,4.0980,2011-06-29,62333.0000,13318571.2456,55477.0000,8.0917,13318567.1476,3250046.7310,CDI_ajustado_pct
1990-03-30,7275.0000,4.1286,2011-06-30,62403.0000,13324632.9269,55128.0000,7.5777,13324628.7983,3227363.7106,CDI_ajustado_pct
1990-04-02,7664.0000,4.1469,2011-07-01,63394.0000,13330697.3671,55730.0000,7.2717,13330693.2202,3214591.9344,CDI_ajustado_pct
1990-04-03,9464.0000,4.1647,2011-07-04,63891.0000,13336764.5674,54427.0000,5.7510,13336760.4027,3202359.5528,CDI_ajustado_pct
1990-04-04,9833.0000,4.1806,2011-07-05,63038.0000,13342839.3303,53205.0000,5.4109,13342835.1497,3191594.3857,CDI_ajustado_pct
1990-04-05,11315.0000,4.1949,2011-07-06,62565.0000,13348912.0568,51250.0000,4.5294,13348907.8619,3182185.1251,CDI_ajustado_pct
1990-04-06,10435.0000,4.2083,2011-07-07,62207.0000,13354987.5471,51772.0000,4.9614,13354983.3388,3173488.8337,CDI_ajustado_pct
1990-04-09,9281.0000,4.2226,2011-07-08,61513.0000,13361065.8026,52232.0000,5.6278,13361061.5800,3164185.4869,CDI_ajustado_pct
1990-04-10,10082.0000,4.2381,2011-07-11,60223.0000,13367146.8245,50141.0000,4.9733,13367142.5864,3154071.1958,CDI_ajustado_pct
1990-04-11,10615.0000,4.2553,2011-07-12,59704.0000,13373230.6140,49089.0000,4.6245,13373226.3587,3142747.1511,CDI_ajustado_pct
1990-04-16,11404.0000,4.2671,2011-07-15,59478.0000,13391513.0574,48074.0000,4.2155,13391508.7903,3138321.6464,CDI_ajustado_pct
1990-04-17,13722.0000,4.2768,2011-07-18,58837.0000,13397612.7577,45115.0000,3.2878,13397608.4809,3132629.6179,CDI_ajustado_pct
1990-04-18,13902.0000,4.2848,2011-07-19,59082.0000,13403710.4132,45180.0000,3.2499,13403706.1284,3128205.6256,CDI_ajustado_pct
1990-04-19,14669.0000,4.2914,2011-07-20,59119.0000,13409810.8439,44450.0000,3.0302,13409806.5524,3124775.5572,CDI_ajustado_pct
1990-04-20,14698.0000,4.2980,2011-07-21,60262.0000,13416032.5938,45564.0000,3.1000,13416028.2958,3121439.1619,CDI_ajustado_pct
1990-04-23,14811.0000,4.3043,2011-07-22,60270.0000,13422257.2305,45459.0000,3.0693,13422252.9261,3118313.8776,CDI_ajustado_pct
1990-04-24,15272.0000,4.3109,2011-07-25,59970.0000,13428489.4529,44698.0000,2.9268,13428485.1421,3115026.9311,CDI_ajustado_pct
1990-04-25,15777.0000,4.3172,2011-07-26,59339.0000,13434719.8692,43562.0000,2.7611,13434715.5520,3111876.9937,CDI_ajustado_pct
1990-04-26,16915.0000,4.3237,2011-07-27,58288.0000,13440953.1762,41373.0000,2.4459,13440948.8525,3108699.2004,CDI_ajustado_pct
1990-04-27,16092.0000,4.3305,2011-07-28,58708.0000,13447189.3752,42616.0000,2.6483,13447185.0447,3105245.5949,CDI_ajustado_pct
1990-04-30,15587.0000,4.3401,2011-07-29,58823.0000,13453428.4677,43236.0000,2.7739,13453424.1275,3099773.8383,CDI_ajustado_pct
1990-05-02,15364.0000,4.3519,2011-08-02,57310.0000,13465920.0491,41946.0000,2.7301,13465915.6972,3094266.5311,CDI_ajustado_pct
1990-05-03,16779.0000,4.3631,2011-08-03,56017.0000,13472167.8320,39238.0000,2.3385,13472163.4688,3087715.2753,CDI_ajustado_pct
1990-05-04,15926.0000,4.3737,2011-08-04,52811.0000,13478418.5137,36885.0000,2.3160,13478414.1400,3081669.6852,CDI_ajustado_pct
1990-05-07,15186.0000,4.3843,2011-08-05,52949.0000,13484672.0955,37763.0000,2.4867,13484667.7112,3075656.3971,CDI_ajustado_pct
1990-05-08,14636.0000,4.3946,2011-08-08,48668.0000,13490928.5788,34032.0000,2.3252,13490924.1842,3069879.4136,CDI_ajustado_pct
1990-05-09,14644.0000,4.4050,2011-08-09,51151.0000,13497187.9650,36507.0000,2.4930,13497183.5600,3064062.3531,CDI_ajustado_pct
1990-05-10,14934.0000,4.4155,2011-08-10,51395.0000,13503450.2553,36461.0000,2.4415,13503445.8398,3058195.2956,CDI_ajustado_pct
1990-05-11,14177.0000,4.4264,2011-08-11,53343.0000,13509715.4511,39166.0000,2.7626,13509711.0247,3052085.7162,CDI_ajustado_pct
1990-05-14,13831.0000,4.4382,2011-08-12,53473.0000,13515983.5538,39642.0000,2.8662,13515979.1156,3045380.7647,CDI_ajustado_pct
1990-05-15,12376.0000,4.4497,2011-08-15,54652.0000,13522254.5647,42276.0000,3.4160,13522250.1150,3038933.0111,CDI_ajustado_pct
1990-05-16,13000.0000,4.4610,2011-08-16,54323.0000,13528528.4851,41323.0000,3.1787,13528524.0241,3032619.9006,CDI_ajustado_pct
